,hero,text,num_buffs,num_nerfs,change_type,text_no_abi
98,Undying,"[u""Aghanim's Scepter no longer improves Flesh Golem\n\nPreviously it increased damage amplification and heal"", u""Aghanim's Scepter now increases Decay's strength steal from 4 to 10"", u'Tombstone Zombies attack damage reduced from 41 to 35', u'Tombstone now requires a constant number of attacks to be destroyed: 3/4/5/7 from heroes\n\n6/8/10/14 attacks from creeps', u'Soul Rip can now restore 1/2/3/4 health to Tombstone']",2,3,"[-1, 1, -1, -1, 1]","[u""Aghanim's Scepter no longer improves \n\nPreviously it increased damage amplification and heal"", u""Aghanim's Scepter now increases 's strength steal from 4 to 10"", u'Zombies attack damage reduced from 41 to 35', u'now requires a constant number of attacks to be destroyed: 3/4/5/7 from heroes\n\n6/8/10/14 attacks from creeps', u'can now restore 1/2/3/4 health to']"
99,Ursa,"[u'Strength gain reduced from 2.9 to 2.7', u'Earthshock cooldown reduced from 6 to 5', u'Enrage  Fury Swipes multiplier reduced from 1.5/2/2.5 to 1.5/1.75/2', u'Enrage cooldown reduced from 50/45/40 to 50/40/30']",2,2,"[-1, 1, -1, 1]","[u'Strength gain reduced from 2.9 to 2.7', u'cooldown reduced from 6 to 5', u'multiplier reduced from 1.5/2/2.5 to 1.5/1.75/2', u'cooldown reduced from 50/45/40 to 50/40/30']"
100,Vengeful Spirit,"[u'Agility gain increased from 2.8 to 3.3', u'Base movement speed increased from 295 to 300']",2,0,"[1, 1]","[u'Agility gain increased from 2.8 to 3.3', u'Base movement speed increased from 295 to 300']"
101,Venomancer,"[u'Poison Sting damage increased from 5/10/15/20 to 6/12/18/24', u'Poison Sting now works normally on illusions', u""Poison Nova damage per second reduced from 36/58/81 to 30/55/80 ( Aghanim's Scepter damage per second increased from 58/81/108 to 60/85/110)"", u""Poison Nova duration increased from 12/14/15/16 to 16\n\nDuration is no longer increased by  Aghanim's Scepter""]",4,0,"[1, 1, 1, 1]","[u'damage increased from 5/10/15/20 to 6/12/18/24', u'now works normally on illusions', u""damage per second reduced from 36/58/81 to 30/55/80 ( Aghanim's Scepter damage per second increased from 58/81/108 to 60/85/110)"", u""duration increased from 12/14/15/16 to 16\n\nDuration is no longer increased by  Aghanim's Scepter""]"
102,Viper,"[u'Agility growth increased from 2.5 to 2.9', u'Corrosive Skin slow no longer pierces Spell Immunity']",1,1,"[1, -1]","[u'Agility growth increased from 2.5 to 2.9', u'slow no longer pierces Spell Immunity']"
103,Visage,"[u""Familiar's Stone Form area of effect increased from 325 to 340""]",1,0,[1],"[u""Familiar's Stone Form area of effect increased from 325 to 340""]"
104,Warlock,[u'Golems can no longer be destroyed by Purge'],1,0,[1],[u'Golems can no longer be destroyed by Purge']
105,Weaver,"[u'The Swarm mana cost rescaled from 100 to 70/80/90/100', u'The Swarm cooldown reduced from 36/33/30/27 to 35/30/25/20']",2,0,"[1, 1]","[u'mana cost rescaled from 100 to 70/80/90/100', u'cooldown reduced from 36/33/30/27 to 35/30/25/20']"
106,Windranger,[],0,0,[],[]
107,Winter Wyvern,"[u""Winter's Curse no longer affects Spell Immune enemies in the area, but it still affects the primary target""]",0,1,[-1],"[u""Winter's Curse no longer affects Spell Immune enemies in the area, but it still affects the primary target""]"
108,Witch Doctor,"[u""Death Ward damage increased from 60/90/120 to 60/105/150\n\n Aghanim's Scepter now deals the same damage"", u""Death Ward no longer bounces once at level 3\n\nStill bounces 4 times with  Aghanim's Scepter""]",1,1,"[1, -1]","[u""damage increased from 60/90/120 to 60/105/150\n\n Aghanim's Scepter now deals the same damage"", u""no longer bounces once at level 3\n\nStill bounces 4 times with  Aghanim's Scepter""]"
109,Wraith King,"[u'Base damage increased by 7', u'Vampiric Aura does not show the healing effect if Wraith King is in the fog of war or is invisible to the enemy', u""Reincarnation  Aghanim's Scepter ally death delay increased from 5 to 7 seconds"", u""Reincarnation  Aghanim's Scepter ally wraith aura now remains active during Reincarnation""]",4,0,"[1, 1, 1, 1]","[u'Base damage increased by 7', u'does not show the healing effect if Wraith King is in the fog of war or is invisible to the enemy', u""Aghanim's Scepter ally death delay increased from 5 to 7 seconds"", u""Aghanim's Scepter ally wraith aura now remains active during""]"
110,Zeus,[],0,0,[],[]
